令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
26465 与謝野町　　　,1,-,1,-,1,1,295,-,4,15,-,276,295
2602　中丹　　　　　　　　,16,2,14,6,3,7,2857,755,4,6,392,1700,1063
26201 福知山市　　　,6,1,5,3,1,3,1129,380,4,6,205,534,354
26202 舞鶴市　　　　,7,1,6,2,2,3,1337,375,-,-,140,822,709
26203 綾部市　　　　,3,-,3,1,-,1,391,-,-,-,47,344,-
2603　南丹　　　　　　　　,9,-,9,2,1,5,1307,-,4,10,130,1163,464
26206 亀岡市　　　　,4,-,4,1,-,2,537,-,-,-,45,492,-
26213 南丹市　　　　,3,-,3,-,1,2,638,-,4,10,-,624,464
26407 京丹波町　　　,2,-,2,1,-,1,132,-,-,-,85,47,-
2604　京都・乙訓　　　　　,102,8,94,27,9,54,21316,4039,8,117,2091,15061,4744
26101 北区　　　　　,9,-,9,4,-,1,1307,186,-,-,215,906,-
26102 上京区　　　　,7,-,7,-,1,5,2449,118,-,54,-,2277,667
26103 左京区　　　　,13,4,9,3,-,7,3449,1435,-,15,271,1728,-
26104 中京区　　　　,8,-,8,1,1,4,1119,-,8,12,19,1080,548
26105 東山区　　　　,3,-,3,1,1,3,937,-,-,4,115,818,652
26106 下京区　　　　,7,-,7,2,1,5,1287,-,-,-,141,1146,384
26107 南区　　　　　,7,-,7,1,-,2,585,-,-,-,29,556,-
26108 右京区　　　　,11,1,10,4,-,6,1780,494,-,-,220,1066,-
26109 伏見区　　　　,16,1,15,5,2,8,3122,301,-,20,461,2340,1100
26110 山科区　　　　,7,-,7,4,1,3,2340,777,-,-,526,1037,548
26111 西京区　　　　,7,-,7,1,1,6,1511,-,-,12,46,1453,557
26208 向日市　　　　,1,-,1,1,-,1,158,-,-,-,48,110,-
26209 長岡京市　　　,6,2,4,-,1,3,1272,728,-,-,-,544,288
26303 大山崎町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2605　山城北　　　　　　　,24,1,23,9,2,13,4599,833,6,35,676,3049,892
26204 宇治市　　　　,9,1,8,4,1,6,2148,651,-,-,294,1203,473
26207 城陽市　　　　,5,-,5,1,-,1,789,-,6,35,41,707,-
26210 八幡市　　　　,4,-,4,2,-,3,555,-,-,-,112,443,-
26211 京田辺市　　　,4,-,4,2,-,1,628,182,-,-,229,217,-
26322 久御山町　　　,2,-,2,-,1,2,479,-,-,-,-,479,419
26343 井手町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
26344 宇治田原町　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2606　山城南　　　　　　　,3,-,3,1,1,3,671,-,10,-,50,611,321
26214 木津川市　　　,1,-,1,-,1,1,321,-,10,-,-,311,321
26364 笠置町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
26365 和束町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
26366 精華町　　　　,2,-,2,1,-,2,350,-,-,-,50,300,-
26367 南山城村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
27　　大阪府　,506,39,467,209,49,280,104010,18076,78,268,20069,65519,22075
2701　豊能　　　　　　　　,47,4,43,13,7,24,10853,1987,14,-,1416,7436,2733
27203 豊中市　　　　,19,2,17,5,2,10,3940,980,14,-,551,2395,838
27204 池田市　　　　,3,-,3,-,1,3,536,-,-,-,-,536,364
27205 吹田市　　　　,15,1,14,3,3,10,4605,412,-,-,260,3933,1214
27220 箕面市　　　　,10,1,9,5,1,1,1772,595,-,-,605,572,317
27321 豊能町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
27322 能勢町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2702　三島　　　　　　　　,36,5,31,10,6,23,8584,2302,-,-,1078,5204,1916
27207 高槻市　　　　,17,3,14,3,5,11,4236,756,-,-,382,3098,1601
27211 茨木市　　　　,14,2,12,7,1,9,3832,1546,-,-,696,1590,315
27224 摂津市　　　　,4,-,4,-,-,2,399,-,-,-,-,399,-
27301 島本町　　　　,1,-,1,-,-,1,117,-,-,-,-,117,-
2703　北河内　　　　　　　,60,4,56,21,5,40,11720,1707,8,129,1804,8072,2028
27209 守口市　　　　,7,1,6,1,2,6,1708,270,-,-,90,1348,800
27210 枚方市　　　　,24,2,22,8,3,16,5383,957,8,-,787,3631,1228
27215 寝屋川市　　　,14,1,13,5,-,8,1869,267,-,30,264,1308,-
27218 大東市　　　　,5,-,5,3,-,4,1167,-,-,99,438,630,-
27223 門真市　　　　,5,-,5,1,-,3,749,-,-,-,100,649,-
27229 四條畷市　　　,3,-,3,2,-,2,576,213,-,-,90,273,-
27230 交野市　　　　,2,-,2,1,-,1,268,-,-,-,35,233,-
2704　中河内　　　　　　　,35,4,31,15,3,20,6961,1470,-,-,1280,4211,1130
27212 八尾市　　　　,11,1,10,4,1,6,2282,420,-,-,422,1440,380
27221 柏原市　　　　,3,1,2,-,-,2,481,201,-,-,-,280,-
27227 東大阪市　　　,21,2,19,11,2,12,4198,849,-,-,858,2491,750
2705　南河内　　　　　　　,39,3,36,17,2,23,7991,1573,6,60,1509,4843,856
27214 富田林市　　　,7,-,7,4,-,3,1374,395,-,-,151,828,-
27216 河内長野市　　,8,-,8,4,1,3,1316,-,-,-,506,810,430
27217 松原市　　　　,6,1,5,1,-,5,958,222,-,-,96,640,-
27222 羽曳野市　　　,7,1,6,3,1,6,1628,310,6,60,210,1042,426
27226 藤井寺市　　　,4,-,4,1,-,1,300,-,-,-,60,240,-
27231 大阪狭山市　　,7,1,6,4,-,5,2415,646,-,-,486,1283,-
27381 太子町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
27382 河南町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
27383 千早赤阪村　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2706　堺市　　　　　　　　,43,4,39,19,5,25,11878,2577,7,40,3543,5711,2328
27141 堺区　　　　　,11,1,10,3,1,5,2660,964,-,-,336,1360,386
27142 中区　　　　　,7,1,6,4,1,7,2791,690,-,-,1012,1089,477
27143 東区　　　　　,2,-,2,-,-,1,299,-,-,-,-,299,-
27144 西区　　　　　,6,-,6,2,2,2,1203,-,7,-,342,854,787
27145 南区　　　　　,4,-,4,2,-,2,1662,-,-,-,1083,579,-
27146 北区　　　　　,11,1,10,7,1,6,2631,471,-,40,710,1410,678
27147 美原区　　　　,2,1,1,1,-,2,632,452,-,-,60,120,-
2707　泉州　　　　　　　　,72,14,58,39,5,33,14510,6237,10,-,3600,4663,1816
27202 岸和田市　　　,17,2,15,12,2,7,3279,980,-,-,1147,1152,741
27206 泉大津市　　　,4,-,4,2,-,2,429,-,-,-,108,321,-
27208 貝塚市　　　　,8,4,4,3,-,7,2372,1886,-,-,166,320,-
27213 泉佐野市　　　,11,2,9,5,1,3,1575,342,10,-,559,664,388
27219 和泉市　　　　,13,3,10,4,2,6,3101,1199,-,-,575,1327,687
27225 高石市　　　　,5,1,4,3,-,3,1012,642,-,-,134,236,-
27228 泉南市　　　　,7,1,6,5,-,2,1165,575,-,-,345,245,-
27232 阪南市　　　　,3,-,3,2,-,1,386,-,-,-,136,250,-
27341 忠岡町　　　　,1,-,1,1,-,-,47,-,-,-,47,-,-
27361 熊取町　　　　,2,1,1,1,-,2,843,613,-,-,82,148,-
27362 田尻町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
27366 岬町　　　　　,1,-,1,1,-,-,301,-,-,-,301,-,-
2708　大阪市　　　　　　　,174,1,173,75,16,92,31513,223,33,39,5839,25379,9268
27102 都島区　　　　,9,-,9,3,1,5,1974,55,33,-,164,1722,1063
27103 福島区　　　　,6,-,6,2,1,5,1413,-,-,-,118,1295,565
27104 此花区　　　　,3,-,3,2,-,1,579,-,-,-,150,429,-
27106 西区　　　　　,8,-,8,3,1,5,1326,-,-,-,180,1146,350
27107 港区　　　　　,3,-,3,1,-,1,541,-,-,-,216,325,-
27108 大正区　　　　,3,1,2,2,1,2,663,50,-,-,95,518,440
27109 天王寺区　　　,9,-,9,3,2,3,2420,42,-,-,158,2220,1489
27111 浪速区　　　　,4,-,4,1,-,3,867,-,-,-,140,727,-
27113 西淀川区　　　,5,-,5,3,1,3,866,-,-,-,215,651,292
27114 東淀川区　　　,5,-,5,1,1,2,1208,-,-,-,52,1156,581
27115 東成区　　　　,9,-,9,3,-,5,833,-,-,-,259,574,-
27116 生野区　　　　,17,-,17,9,-,7,1851,-,-,-,642,1209,-
27117 旭区　　　　　,7,-,7,4,-,4,549,-,-,-,213,336,-
27118 城東区　　　　,9,-,9,1,1,6,1581,-,-,-,36,1545,400
27119 阿倍野区　　　,7,-,7,4,-,3,1717,38,-,-,242,1437,-
27120 住吉区　　　　,7,-,7,4,1,2,2260,34,-,-,955,1271,865
27121 東住吉区　　　,7,-,7,3,1,2,870,-,-,-,127,743,329
27122 西成区　　　　,11,-,11,9,-,5,1478,-,-,-,730,748,-
27123 淀川区　　　　,8,-,8,3,-,5,1059,-,-,39,216,804,-
27124 鶴見区　　　　,7,-,7,3,-,5,659,-,-,-,102,557,-
27125 住之江区　　　,4,-,4,2,-,3,830,-,-,-,171,659,-
27126 平野区　　　　,10,-,10,6,-,4,1286,-,-,-,393,893,-
27127 北区　　　　　,8,-,8,3,3,6,2915,-,-,-,265,2650,1854
27128 中央区　　　　,8,-,8,-,2,5,1768,4,-,-,-,1764,1040
28　　兵庫県　,347,33,314,152,38,173,63825,11536,54,150,12740,39345,15622
2801　神戸　　　　　　　　,110,11,99,39,13,56,18779,3555,10,50,2755,12409,4794
28101 東灘区　　　　,7,-,7,3,1,2,1085,-,-,-,157,928,380
28102 灘区　　　　　,8,-,8,5,-,5,909,-,-,-,298,611,-
28105 兵庫区　　　　,10,1,9,2,1,5,1603,300,-,-,90,1213,278
28106 長田区　　　　,8,-,8,4,1,4,1095,-,-,-,264,831,358
28107 須磨区　　　　,9,-,9,4,1,6,1198,-,-,-,270,928,304
28108 垂水区　　　　,6,-,6,3,1,5,1115,-,-,-,191,924,325
28109 北区　　　　　,20,4,16,8,2,10,3618,1431,-,-,770,1417,657
28110 中央区　　　　,25,-,25,6,5,10,4559,54,10,-,349,4146,2017
28111 西区　　　　　,17,6,11,4,1,9,3597,1770,-,50,366,1411,475
2804　東播磨　　　　　　　,39,4,35,18,5,20,7423,1462,8,-,1468,4485,1863
28203 明石市　　　　,21,2,19,10,2,10,3657,679,-,-,685,2293,711
28210 加古川市　　　,13,1,12,6,2,7,2767,425,8,-,681,1653,953
28216 高砂市　　　　,2,-,2,1,1,2,418,-,-,-,48,370,199
28381 稲美町　　　　,2,1,1,1,-,-,492,358,-,-,54,80,-
28382 播磨町　　　　,1,-,1,-,-,1,89,-,-,-,-,89,-
2805　北播磨　　　　　　　,22,2,20,9,2,10,4391,847,6,-,1034,2504,770
28213 西脇市　　　　,2,-,2,-,1,2,519,-,-,-,-,519,320
28215 三木市　　　　,6,1,5,5,-,3,1491,445,-,-,575,471,-
28218 小野市　　　　,5,-,5,2,1,2,1124,-,-,-,312,812,450
28220 加西市　　　　,4,-,4,1,-,1,447,-,6,-,120,321,-
28228 加東市　　　　,3,1,2,-,-,1,640,402,-,-,-,238,-
28365 多可町　　　　,2,-,2,1,-,1,170,-,-,-,27,143,-
2808　但馬　　　　　　　　,11,2,9,4,2,6,1928,556,4,7,197,1164,898
28209 豊岡市　　　　,3,-,3,1,1,2,672,51,4,-,36,581,518
28222 養父市　　　　,2,1,1,1,1,1,635,255,-,7,35,338,380
28225 朝来市　　　　,2,1,1,1,-,1,400,250,-,-,46,104,-
28585 香美町　　　　,2,-,2,-,-,1,92,-,-,-,-,92,-
28586 新温泉町　　　,2,-,2,1,-,1,129,-,-,-,80,49,-
2809　丹波　　　　　　　　,7,1,6,4,1,5,1370,266,4,-,446,654,320
28221 丹波篠山市　　,4,-,4,3,-,3,399,-,-,-,121,278,-
28223 丹波市　　　　,3,1,2,1,1,2,971,266,4,-,325,376,320
2810　淡路　　　　　　　　,11,1,10,8,1,7,2026,355,4,15,885,767,441
28205 洲本市　　　　,3,1,2,1,1,2,844,270,4,15,100,455,441
28224 南あわじ市　　,5,-,5,5,-,2,635,85,-,-,509,41,-
28226 淡路市　　　　,3,-,3,2,-,3,547,-,-,-,276,271,-
2811　阪神　　　　　　　　,88,6,82,44,9,37,17939,2304,8,78,4273,11276,4029
28202 尼崎市　　　　,24,-,24,14,2,12,4138,8,8,-,1106,3016,1372
28204 西宮市　　　　,25,2,23,12,2,8,5177,714,-,28,1065,3370,657
28206 芦屋市　　　　,3,-,3,-,-,3,353,-,-,-,-,353,-
28207 伊丹市　　　　,10,-,10,6,2,4,1898,232,-,-,505,1161,859
28214 宝塚市　　　　,7,-,7,4,1,5,1356,-,-,-,417,939,436
28217 川西市　　　　,7,-,7,3,1,3,1816,24,-,-,322,1470,405
28219 三田市　　　　,10,4,6,3,1,2,2892,1326,-,50,600,916,300
28301 猪名川町　　　,2,-,2,2,-,-,309,-,-,-,258,51,-
2812　播磨姫路　　　　　　,59,6,53,26,5,32,9969,2191,10,-,1682,6086,2507
28201 姫路市　　　　,34,3,31,16,4,20,6031,968,6,-,1053,4004,2147
28208 相生市　　　　,4,-,4,2,-,1,739,311,-,-,78,350,-
28212 赤穂市　　　　,5,1,4,2,1,2,1014,242,4,-,147,621,360
28227 宍粟市　　　　,1,-,1,-,-,1,199,-,-,-,-,199,-
28229 たつの市　　　,9,1,8,3,-,5,1069,348,-,-,184,537,-
28442 市川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
28443 福崎町　　　　,1,1,-,-,-,-,322,322,-,-,-,-,-
28446 神河町　　　　,1,-,1,-,-,1,140,-,-,-,-,140,-
28464 太子町　　　　,1,-,1,1,-,-,132,-,-,-,91,41,-
28481 上郡町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
28501 佐用町　　　　,3,-,3,2,-,2,323,-,-,-,129,194,-
29　　奈良県　,75,4,71,33,6,41,15951,2866,24,30,2748,10283,2264
2901　奈良　　　　　　　　,22,1,21,9,2,14,4264,627,7,30,658,2942,890
29201 奈良市　　　　,22,1,21,9,2,14,4264,627,7,30,658,2942,890
2902　東和　　　　　　　　,12,-,12,6,1,5,2480,43,4,-,386,2047,324
29204 天理市　　　　,5,-,5,4,-,2,1436,43,-,-,274,1119,-
29206 桜井市　　　　,3,-,3,1,1,1,482,-,4,-,72,406,324
29212 宇陀市　　　　,2,-,2,1,-,1,242,-,-,-,40,202,-
29322 山添村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29361 川西町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29362 三宅町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29363 田原本町　　　,2,-,2,-,-,1,320,-,-,-,-,320,-
29385 曽爾村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29386 御杖村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2903　西和　　　　　　　　,18,-,18,8,2,11,3878,836,-,-,599,2443,818
29203 大和郡山市　　,6,-,6,3,-,3,961,183,-,-,173,605,-
29209 生駒市　　　　,6,-,6,2,1,4,1259,-,-,-,138,1121,518
29342 平群町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29343 三郷町　　　　,2,-,2,1,1,1,1000,653,-,-,47,300,300
29344 斑鳩町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29345 安堵町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29424 上牧町　　　　,3,-,3,2,-,2,553,-,-,-,241,312,-
29425 王寺町　　　　,1,-,1,-,-,1,105,-,-,-,-,105,-
29427 河合町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2904　中和　　　　　　　　,19,3,16,7,-,10,4799,1360,9,-,944,2486,-
29202 大和高田市　　,3,-,3,-,-,3,599,-,-,-,-,599,-
29205 橿原市　　　　,8,1,7,4,-,3,2153,348,9,-,463,1333,-
29208 御所市　　　　,2,-,2,1,-,1,711,423,-,-,81,207,-
29210 香芝市　　　　,3,-,3,2,-,2,690,-,-,-,400,290,-
29211 葛城市　　　　,2,1,1,-,-,1,279,222,-,-,-,57,-
29401 高取町　　　　,1,1,-,-,-,-,367,367,-,-,-,-,-
29402 明日香村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29426 広陵町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2905　南和　　　　　　　　,4,-,4,3,1,1,530,-,4,-,161,365,232
29207 五條市　　　　,1,-,1,1,-,-,82,-,-,-,37,45,-
29441 吉野町　　　　,1,-,1,1,-,-,96,-,-,-,46,50,-
29442 大淀町　　　　,2,-,2,1,1,1,352,-,4,-,78,270,232
29443 下市町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29444 黒滝村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29446 天川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29447 野迫川村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29449 十津川村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29450 下北山村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29451 上北山村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29452 川上村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
29453 東吉野村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30　　和歌山県,83,8,75,35,5,50,12830,2044,32,15,2117,8622,2014
3001　和歌山　　　　　　　,43,3,40,19,2,24,6137,773,8,-,1023,4333,1084
30201 和歌山市　　　,37,3,34,15,2,20,5540,673,8,-,852,4007,1084
30202 海南市　　　　,5,-,5,3,-,3,343,-,-,-,117,226,-
30304 紀美野町　　　,1,-,1,1,-,1,254,100,-,-,54,100,-
3002　那賀　　　　　　　　,8,1,7,4,-,5,1114,218,4,-,232,660,-
30208 紀の川市　　　,4,-,4,3,-,4,600,-,4,-,178,418,-
30209 岩出市　　　　,4,1,3,1,-,1,514,218,-,-,54,242,-
3003　橋本　　　　　　　　,5,1,4,1,-,4,907,120,4,-,113,670,-
30203 橋本市　　　　,3,-,3,1,-,3,683,-,-,-,113,570,-
30341 かつらぎ町　　,1,-,1,-,-,1,104,-,4,-,-,100,-
30343 九度山町　　　,1,1,-,-,-,-,120,120,-,-,-,-,-
30344 高野町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3004　有田　　　　　　　　,6,1,5,3,-,5,931,300,4,-,155,472,-
30204 有田市　　　　,2,-,2,1,-,2,256,-,4,-,50,202,-
30361 湯浅町　　　　,1,-,1,-,-,1,184,-,-,-,-,184,-
30362 広川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30366 有田川町　　　,3,1,2,2,-,2,491,300,-,-,105,86,-
3005　御坊　　　　　　　　,4,-,4,1,1,4,959,100,4,15,51,789,310
30205 御坊市　　　　,3,-,3,1,-,3,649,100,4,-,51,494,-
30381 美浜町　　　　,1,-,1,-,1,1,310,-,-,15,-,295,310
30382 日高町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30383 由良町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30390 印南町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30392 日高川町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3006　田辺　　　　　　　　,9,1,8,4,1,5,1620,198,4,-,361,1057,316
30206 田辺市　　　　,5,1,4,1,1,3,1075,198,4,-,32,841,316
30391 みなべ町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30401 白浜町　　　　,2,-,2,2,-,1,409,-,-,-,305,104,-
30404 上富田町　　　,1,-,1,-,-,-,64,-,-,-,-,64,-
30406 すさみ町　　　,1,-,1,1,-,1,72,-,-,-,24,48,-
3007　新宮　　　　　　　　,8,1,7,3,1,3,1162,335,4,-,182,641,304
30207 新宮市　　　　,3,1,2,-,1,1,545,157,4,-,-,384,304
30421 那智勝浦町　　,2,-,2,1,-,1,202,-,-,-,82,120,-
30422 太地町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30424 古座川町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30427 北山村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
30428 串本町　　　　,3,-,3,2,-,1,415,178,-,-,100,137,-
31　　鳥取県　,43,4,39,25,6,18,8313,1715,12,16,1743,4827,2159
3101　東部　　　　　　　　,14,2,12,7,3,6,3349,739,4,10,646,1950,1208
31201 鳥取市　　　　,12,2,10,5,3,4,3140,739,4,10,549,1838,1208
31302 岩美町　　　　,1,-,1,1,-,1,110,-,-,-,50,60,-
31325 若桜町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
31328 智頭町　　　　,1,-,1,1,-,1,99,-,-,-,47,52,-
31329 八頭町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3102　中部　　　　　　　　,10,1,9,5,1,3,1490,278,4,-,315,893,304
31203 倉吉市　　　　,9,1,8,4,1,3,1312,278,4,-,220,810,304
31364 三朝町　　　　,1,-,1,1,-,-,178,-,-,-,95,83,-
31370 湯梨浜町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
31371 琴浦町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
31372 北栄町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3103　西部　　　　　　　　,19,1,18,13,2,9,3474,698,4,6,782,1984,647
31202 米子市　　　　,12,1,11,7,2,5,2626,540,2,6,492,1586,647
31204 境港市　　　　,2,-,2,2,-,1,273,-,2,-,80,191,-
31384 日吉津村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
31386 大山町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
31389 南部町　　　　,1,-,1,1,-,1,198,99,-,-,50,49,-
31390 伯耆町　　　　,2,-,2,2,-,-,179,59,-,-,120,-,-
31401 日南町　　　　,1,-,1,1,-,1,99,-,-,-,40,59,-
31402 日野町　　　　,1,-,1,-,-,1,99,-,-,-,-,99,-
31403 江府町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
32　　島根県　,46,9,37,24,6,25,9705,2253,30,10,1723,5689,2539
3201　松江　　　　　　　　,13,3,10,6,2,7,3498,886,6,6,358,2242,1069
32201 松江市　　　　,11,3,8,4,2,5,2969,703,6,6,252,2002,1069
32206 安来市　　　　,2,-,2,2,-,2,529,183,-,-,106,240,-
3202　雲南　　　　　　　　,5,1,4,3,-,4,642,100,4,-,180,358,-
32209 雲南市　　　　,3,1,2,2,-,2,496,100,4,-,133,259,-
32343 奥出雲町　　　,1,-,1,1,-,1,98,-,-,-,47,51,-
32386 飯南町　　　　,1,-,1,-,-,1,48,-,-,-,-,48,-
3203　出雲　　　　　　　　,11,2,9,6,1,5,2645,460,6,-,611,1568,568
32203 出雲市　　　　,11,2,9,6,1,5,2645,460,6,-,611,1568,568
3204　大田　　　　　　　　,4,1,3,2,-,2,576,168,4,-,126,278,-
32205 大田市　　　　,2,1,1,1,-,1,397,168,4,-,45,180,-
32441 川本町　　　　,1,-,1,1,-,-,81,-,-,-,81,-,-
32448 美郷町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
32449 邑南町　　　　,1,-,1,-,-,1,98,-,-,-,-,98,-
3205　浜田　　　　　　　　,6,1,5,4,1,2,1274,402,4,-,276,592,365
32202 浜田市　　　　,4,1,3,2,1,1,882,402,4,-,115,361,365
32207 江津市　　　　,2,-,2,2,-,1,392,-,-,-,161,231,-
3206　益田　　　　　　　　,5,1,4,2,2,3,911,215,4,4,148,540,537
32204 益田市　　　　,3,1,2,1,2,2,752,215,4,4,88,441,537
32501 津和野町　　　,1,-,1,-,-,-,49,-,-,-,-,49,-
32505 吉賀町　　　　,1,-,1,1,-,1,110,-,-,-,60,50,-
3207　隠岐　　　　　　　　,2,-,2,1,-,2,159,22,2,-,24,111,-
32525 海士町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
32526 西ノ島町　　　,1,-,1,1,-,1,44,-,-,-,24,20,-
32527 知夫村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
32528 隠岐の島町　　,1,-,1,-,-,1,115,22,2,-,-,91,-
33　　岡山県　,159,16,143,72,12,86,27097,5275,26,115,4041,17640,5673
3301　県南東部　　　　　　,75,6,69,25,10,35,13853,2967,8,80,1460,9338,3986
33101 北区　　　　　,27,3,24,5,7,12,6806,1429,8,53,204,5112,3169
33102 中区　　　　　,11,1,10,5,1,4,1775,482,-,-,405,888,214
33103 東区　　　　　,8,-,8,3,-,3,733,-,-,-,192,541,-
33104 南区　　　　　,9,2,7,2,1,5,1619,750,-,-,98,771,358
33204 玉野市　　　　,7,-,7,3,-,4,751,186,-,-,134,431,-
33211 備前市　　　　,4,-,4,3,-,3,316,-,-,-,132,184,-
33212 瀬戸内市　　　,4,-,4,1,-,1,1235,120,-,-,114,1001,-
33213 赤磐市　　　　,1,-,1,1,1,1,245,-,-,-,94,151,245
33346 和気町　　　　,2,-,2,1,-,2,165,-,-,27,29,109,-
33681 吉備中央町　　,2,-,2,1,-,-,208,-,-,-,58,150,-
3302　県南西部　　　　　　,53,6,47,25,1,33,9391,1363,10,25,1540,6453,1172
33202 倉敷市　　　　,36,4,32,14,1,22,7241,854,10,-,1061,5316,1172
33205 笠岡市　　　　,5,2,3,1,-,3,827,509,-,-,39,279,-
33207 井原市　　　　,3,-,3,2,-,3,272,-,-,-,87,185,-
33208 総社市　　　　,3,-,3,3,-,2,214,-,-,-,145,69,-
33216 浅口市　　　　,2,-,2,2,-,1,207,-,-,-,69,138,-
33423 早島町　　　　,1,-,1,-,-,1,395,-,-,25,-,370,-
33445 里庄町　　　　,1,-,1,1,-,-,70,-,-,-,31,39,-
33461 矢掛町　　　　,2,-,2,2,-,1,165,-,-,-,108,57,-
3303　高梁・新見　　　　　,8,1,7,6,-,5,872,240,-,-,233,399,-
33209 高梁市　　　　,4,1,3,2,-,3,549,240,-,-,86,223,-
33210 新見市　　　　,4,-,4,4,-,2,323,-,-,-,147,176,-
3304　真庭　　　　　　　　,7,1,6,4,-,6,717,170,-,-,194,353,-
33214 真庭市　　　　,7,1,6,4,-,6,717,170,-,-,194,353,-
33586 新庄村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3305　津山・英田　　　　　,16,2,14,12,1,7,2264,535,8,10,614,1097,515
33203 津山市　　　　,9,2,7,5,1,2,1616,535,8,10,243,820,515
33215 美作市　　　　,3,-,3,3,-,2,223,-,-,-,137,86,-
33606 鏡野町　　　　,2,-,2,2,-,2,198,-,-,-,98,100,-
33622 勝央町　　　　,1,-,1,1,-,1,179,-,-,-,88,91,-
33623 奈義町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
33643 西粟倉村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
33663 久米南町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
33666 美咲町　　　　,1,-,1,1,-,-,48,-,-,-,48,-,-
34　　広島県　,232,31,201,106,20,115,36929,8585,30,109,7381,20824,8409
3401　広島　　　　　　　　,92,11,81,37,6,47,15042,3310,18,41,2649,9024,2929
34101 中区　　　　　,18,-,18,4,3,12,3548,28,16,41,205,3258,1508
34102 東区　　　　　,6,1,5,4,1,3,1087,200,-,-,432,455,275
34103 南区　　　　　,12,2,10,4,1,6,2404,342,2,-,271,1789,712
